Time(s),Flow(m3/s)
0.0,0.000000
600.0,0.059281
1200.0,0.141927
1800.0,0.324368
2400.0,0.594948
3000.0,0.863266
3600.0,1.269817
4200.0,1.770800
4800.0,2.167272
5400.0,2.527643
6000.0,2.902500
6600.0,3.329478
7200.0,3.707859
7800.0,4.183834
8400.0,4.753271
9000.0,5.434959
9600.0,6.152891
10200.0,6.954079
10800.0,7.833630
11400.0,8.888808
12000.0,9.819734
12600.0,10.945205
13200.0,11.999426
13800.0,13.230665
14400.0,14.505666
15000.0,15.849619
15600.0,17.533196
16200.0,19.375226
16800.0,21.255607
17400.0,23.324526
18000.0,25.407109
18600.0,27.599370
19200.0,30.194222
19800.0,32.869562
20400.0,35.729077
21000.0,38.485341
21600.0,41.336807
22200.0,44.331600
22800.0,47.363039
23400.0,50.453172
24000.0,53.640537
24600.0,57.016753
25200.0,60.546328
25800.0,64.132947
26400.0,67.913880
27000.0,71.866099
27600.0,75.814826
28200.0,79.905505
28800.0,84.166730
29400.0,88.599087
30000.0,93.220420
30600.0,98.052554
31200.0,103.112660
31800.0,108.419504
32400.0,113.988615
33000.0,119.850632
33600.0,126.034331
34200.0,132.573019
34800.0,139.505582
35400.0,146.909930
36000.0,154.979867
36600.0,163.863663
37200.0,174.119557
37800.0,185.630349
38400.0,198.771769
39000.0,213.636912
39600.0,229.888082
40200.0,248.151633
40800.0,268.199460
41400.0,289.799635
42000.0,315.168330
42600.0,347.887999
43200.0,407.111697
43800.0,464.461370
44400.0,547.334952
45000.0,625.145562
45600.0,666.680958
46200.0,740.028576
46800.0,787.733303
47400.0,747.541661
48000.0,714.003532
48600.0,710.244457
49200.0,731.601249
49800.0,732.876579
50400.0,789.215561
51000.0,862.547072
51600.0,939.059227
52200.0,986.305595
52800.0,1039.375298
53400.0,1089.935512
54000.0,1157.394300
54600.0,1126.524054
55200.0,1178.031540
55800.0,1171.226724
56400.0,1233.455503
57000.0,1273.924943
57600.0,1325.949869
58200.0,1470.573766
58800.0,1552.658375
59400.0,1559.846082
60000.0,1588.911793
60600.0,1562.425938
61200.0,1564.342316
61800.0,1664.598974
62400.0,1651.711412
63000.0,1613.257660
63600.0,1462.397548
64200.0,1355.912436
64800.0,1281.114812
65400.0,1172.958064
66000.0,1068.577520
66600.0,990.725282
67200.0,953.578540
67800.0,908.016761
68400.0,824.835190
69000.0,775.460630
69600.0,716.093580
70200.0,590.155407
70800.0,507.390940
71400.0,453.372018
72000.0,407.165076
72600.0,369.237808
73200.0,339.823024
73800.0,315.236597
74400.0,292.521327
75000.0,269.411802
75600.0,250.342405
76200.0,233.322487
76800.0,217.751308
77400.0,204.684839
78000.0,193.204077
78600.0,182.924427
79200.0,173.477819
79800.0,164.726874
80400.0,156.548921
81000.0,148.856567
81600.0,141.593535
82200.0,134.773844
82800.0,128.327806
83400.0,122.219058
84000.0,116.408103
84600.0,110.870999
85200.0,105.586521
85800.0,100.535761
86400.0,95.701800
87000.0,91.021826
87600.0,86.524971
88200.0,82.141055
88800.0,77.889303
89400.0,73.847509
90000.0,69.885380
90600.0,66.055559
91200.0,62.521972
91800.0,59.185679
92400.0,55.983559
93000.0,52.877381
93600.0,49.949531
94200.0,47.059680
94800.0,44.225417
95400.0,41.442618
96000.0,38.785817
96600.0,36.210521
97200.0,33.725466
97800.0,31.255083
98400.0,29.064888
99000.0,26.848913
99600.0,24.852206
100200.0,22.839512
100800.0,20.944992
101400.0,19.140003
102000.0,17.205392
102600.0,15.348575
103200.0,13.676272
103800.0,12.047786
104400.0,10.621037
105000.0,9.292149
105600.0,7.824809
106200.0,6.545354
106800.0,5.352343
107400.0,4.484650
108000.0,3.721288
108600.0,3.016523
109200.0,2.460697
109800.0,2.014390
110400.0,1.632525
111000.0,1.237896
111600.0,0.877006
112200.0,0.633885
112800.0,0.380783
113400.0,0.152923
114000.0,0.099164
114600.0,0.068225
115200.0,0.041133
115800.0,0.027141
116400.0,0.019995
117000.0,0.012892
117600.0,0.006016
118200.0,0.000000
