Time(s),Flow(m3/s)
0.0,0.000000
600.0,0.033578
1200.0,0.054498
1800.0,0.061365
2400.0,0.068402
3000.0,0.075615
3600.0,0.083012
4200.0,0.090600
4800.0,0.098387
5400.0,0.106382
6000.0,0.114593
6600.0,0.123031
7200.0,0.131705
7800.0,0.140625
8400.0,0.149804
9000.0,0.159254
9600.0,0.168986
10200.0,0.179016
10800.0,0.189358
11400.0,0.200027
12000.0,0.211040
12600.0,0.222416
13200.0,0.234173
13800.0,0.246333
14400.0,0.258918
15000.0,0.271953
15600.0,0.285462
16200.0,0.299474
16800.0,0.314021
17400.0,0.329134
18000.0,0.344850
18600.0,0.361209
19200.0,0.378252
19800.0,0.396027
20400.0,0.414584
21000.0,0.433981
21600.0,0.454279
22200.0,0.475547
22800.0,0.497860
23400.0,0.521303
24000.0,0.545969
24600.0,0.571963
25200.0,0.599402
25800.0,0.628419
26400.0,0.659161
27000.0,0.691799
27600.0,0.726525
28200.0,0.763560
28800.0,0.803156
29400.0,0.845608
30000.0,0.891256
30600.0,0.940500
31200.0,0.993812
31800.0,1.051750
32400.0,1.114988
33000.0,1.184335
33600.0,1.260785
34200.0,1.345563
34800.0,1.440206
35400.0,1.564827
36000.0,1.786760
36600.0,2.062499
37200.0,2.498773
37800.0,2.800145
38400.0,3.026036
39000.0,3.301974
39600.0,3.648098
40200.0,4.097571
40800.0,4.709570
41400.0,5.602350
42000.0,7.057280
42600.0,9.993260
43200.0,22.899711
43800.0,19.638457
44400.0,11.039727
45000.0,7.412090
45600.0,5.791595
46200.0,4.830135
46800.0,4.182218
47400.0,3.711321
48000.0,3.351277
48600.0,3.065728
49200.0,2.832894
49800.0,2.638865
50400.0,2.197465
51000.0,1.828544
51600.0,1.595902
52200.0,1.456010
52800.0,1.359655
53400.0,1.273441
54000.0,1.195775
54600.0,1.125386
55200.0,1.061251
55800.0,1.002531
56400.0,0.948536
57000.0,0.898689
57600.0,0.852507
58200.0,0.809580
58800.0,0.769558
59400.0,0.732141
60000.0,0.697070
60600.0,0.664120
61200.0,0.633093
61800.0,0.603817
62400.0,0.576141
63000.0,0.549930
63600.0,0.525064
64200.0,0.501437
64800.0,0.478954
65400.0,0.457528
66000.0,0.437083
66600.0,0.417550
67200.0,0.398865
67800.0,0.380972
68400.0,0.363818
69000.0,0.347356
69600.0,0.331542
70200.0,0.316337
70800.0,0.301705
71400.0,0.287611
72000.0,0.274025
72600.0,0.260919
73200.0,0.248265
73800.0,0.236041
74400.0,0.224222
75000.0,0.212788
75600.0,0.201719
76200.0,0.190998
76800.0,0.180606
77400.0,0.170529
78000.0,0.160751
78600.0,0.151258
79200.0,0.142038
79800.0,0.133078
80400.0,0.124366
81000.0,0.115893
81600.0,0.107647
82200.0,0.099619
82800.0,0.091800
83400.0,0.084181
84000.0,0.076755
84600.0,0.069514
85200.0,0.062450
85800.0,0.055557
86400.0,0.048828
87000.0,0.015292
87600.0,0.000000
