Time(s),Flow(m3/s)
0.0,0.000000
600.0,0.125707
1200.0,0.598436
1800.0,1.404308
2400.0,2.143935
3000.0,2.976766
3600.0,3.933772
4200.0,5.002742
4800.0,6.108446
5400.0,7.305418
6000.0,8.498892
6600.0,10.051905
7200.0,12.041456
7800.0,14.128152
8400.0,16.043884
9000.0,18.007801
9600.0,20.135401
10200.0,22.843636
10800.0,25.616284
11400.0,28.556069
12000.0,31.684840
12600.0,35.086996
13200.0,38.701853
13800.0,42.673405
14400.0,46.870197
15000.0,51.218089
15600.0,56.241834
16200.0,61.736348
16800.0,67.241643
17400.0,72.486971
18000.0,77.930051
18600.0,83.437533
19200.0,89.206659
19800.0,95.287152
20400.0,101.504940
21000.0,107.850612
21600.0,114.677114
22200.0,121.696890
22800.0,129.139127
23400.0,136.711525
24000.0,144.756119
24600.0,153.465300
25200.0,162.500423
25800.0,172.183111
26400.0,182.425671
27000.0,192.933621
27600.0,204.119577
28200.0,215.739979
28800.0,227.906602
29400.0,240.658606
30000.0,253.881694
30600.0,267.587318
31200.0,281.853407
31800.0,296.892170
32400.0,312.672140
33000.0,329.164341
33600.0,346.545058
34200.0,364.966314
34800.0,384.546764
35400.0,405.494951
36000.0,428.435246
36600.0,454.447149
37200.0,484.809132
37800.0,519.973710
38400.0,559.246854
39000.0,600.713278
39600.0,646.309458
40200.0,697.010585
40800.0,754.120586
41400.0,819.702543
42000.0,899.559254
42600.0,1004.453675
43200.0,1186.071274
43800.0,1465.630704
44400.0,1724.535480
45000.0,1806.524758
45600.0,1889.908167
46200.0,1984.626048
46800.0,2069.798511
47400.0,2121.329394
48000.0,2185.969498
48600.0,2244.824662
49200.0,2441.287349
49800.0,2670.578212
50400.0,2738.530067
51000.0,2658.903139
51600.0,2643.908658
52200.0,2728.843539
52800.0,2968.465152
53400.0,3039.934753
54000.0,3083.998826
54600.0,3135.658921
55200.0,3213.790464
55800.0,3276.459141
56400.0,3369.552256
57000.0,3407.870374
57600.0,3413.671986
58200.0,3579.485309
58800.0,3647.394365
59400.0,3458.619525
60000.0,3105.716205
60600.0,2900.631825
61200.0,2722.635121
61800.0,2636.548579
62400.0,2594.565943
63000.0,2501.378757
63600.0,2408.840968
64200.0,2446.704891
64800.0,2419.791433
65400.0,2438.626092
66000.0,2379.422667
66600.0,2434.302909
67200.0,2577.689862
67800.0,2607.418218
68400.0,2694.171601
69000.0,2724.918638
69600.0,2613.922530
70200.0,2587.603593
70800.0,2479.668240
71400.0,2360.746999
72000.0,2227.027803
72600.0,2022.028616
73200.0,1792.411156
73800.0,1585.070367
74400.0,1446.358061
75000.0,1292.913771
75600.0,1105.683072
76200.0,959.884195
76800.0,861.745119
77400.0,784.229149
78000.0,719.380786
78600.0,662.595777
79200.0,612.076177
79800.0,567.607119
80400.0,528.826855
81000.0,495.015951
81600.0,464.169606
82200.0,436.199998
82800.0,411.562656
83400.0,389.570571
84000.0,369.433238
84600.0,350.623857
85200.0,332.902378
85800.0,316.160247
86400.0,300.304455
87000.0,285.153703
87600.0,270.490019
88200.0,256.341196
88800.0,243.037935
89400.0,230.365023
90000.0,218.258243
90600.0,206.699086
91200.0,195.718978
91800.0,185.229654
92400.0,175.280032
93000.0,165.531125
93600.0,155.964287
94200.0,146.906121
94800.0,138.536912
95400.0,130.585394
96000.0,122.926627
96600.0,115.223835
97200.0,107.987043
97800.0,101.093017
98400.0,94.511716
99000.0,88.168279
99600.0,82.123827
100200.0,76.257695
100800.0,70.703669
101400.0,65.513204
102000.0,60.238898
102600.0,55.145418
103200.0,50.638686
103800.0,46.857390
104400.0,43.300234
105000.0,40.065298
105600.0,36.953668
106200.0,33.935752
106800.0,31.170879
107400.0,28.641203
108000.0,26.037886
108600.0,23.652070
109200.0,21.282695
109800.0,19.202632
110400.0,17.099864
111000.0,14.867029
111600.0,12.860949
112200.0,10.815276
112800.0,8.867781
113400.0,7.290813
114000.0,5.712680
114600.0,4.389710
115200.0,3.225360
115800.0,2.206880
116400.0,1.449684
117000.0,0.936282
117600.0,0.597974
118200.0,0.276011
118800.0,0.054687
119400.0,0.000000
